Sample : Ni
Pre-Pulse  Slope = 8.407258E-3 +/- 2.093157E-4 Intercept = 5.853712E+0 +/- 5.079229E-4 Residue = 3.413946E-9
Heat Pulse  Slope = 8.303624E-2 +/- 8.990373E-4 Intercept = 5.438751E+0 +/- 6.775275E-3 Residue = 3.804583E-8
Post-Pulse  Slope = 5.835659E-3 +/- 1.530698E-3 Intercept = 6.248523E+0 +/- 1.918430E-2 Residue = 1.102090E-7
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020110E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020120E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
0.000000	6.505707	0.010000
0.110006	6.505830	0.010000
0.213012	6.505030	0.010000
0.315018	6.505014	0.010000
0.417024	6.507273	0.010000
0.519030	6.509192	0.010000
0.621036	6.508422	0.010000
0.724041	6.509122	0.010000
0.826047	6.510705	0.010000
0.928053	6.511988	0.010000
1.030059	6.511070	0.010000
1.132065	6.511805	0.010000
1.234070	6.513068	0.010000
1.336076	6.513940	0.010000
1.438082	6.513845	0.010000
1.540088	6.515649	0.010000
1.642094	6.516901	0.010000
1.744100	6.515858	0.010000
1.847106	6.517360	0.010000
1.950111	6.518269	0.010000
2.052117	6.518192	0.010000
2.154123	6.520040	0.010000
2.257129	6.519873	0.010000
2.359135	6.521354	0.010000
2.461141	6.521230	0.010000
2.563147	6.522838	0.010000
2.665153	6.523146	0.010000
2.768158	6.523017	0.010000
2.870164	6.524474	0.010000
2.973170	6.525224	0.010000
3.076176	6.526592	0.010000
3.179182	6.527152	0.010000
3.281188	6.527216	0.010000
3.384193	6.527019	0.010000
3.486199	6.528309	0.010000
3.588205	6.529777	0.010000
3.690211	6.531413	0.010000
3.792217	6.531264	0.010000
3.894223	6.531705	0.010000
3.997229	6.531858	0.010000
4.100235	6.531607	0.010000
4.203240	6.533043	0.010000
4.306246	6.534446	0.010000
4.408252	6.535059	0.010000
4.511258	6.535790	0.010000
4.614264	6.536645	0.010000
4.716269	6.537469	0.010000
4.818275	6.538698	0.010000
4.920281	6.539450	0.010000
5.022287	6.538679	0.010000
5.125293	6.539539	0.010000
5.228299	6.540534	0.010000
5.330305	6.543258	0.010000
5.432311	6.549076	0.010000
5.535316	6.554478	0.010000
5.638322	6.562783	0.010000
5.740328	6.569064	0.010000
5.842334	6.574371	0.010000
5.944340	6.580809	0.010000
6.046346	6.590510	0.010000
6.148352	6.595169	0.010000
6.250357	6.602511	0.010000
6.353363	6.608891	0.010000
6.455369	6.616021	0.010000
6.558375	6.622942	0.010000
6.660381	6.628312	0.010000
6.762387	6.636016	0.010000
6.864392	6.642425	0.010000
6.967398	6.648019	0.010000
7.069404	6.656836	0.010000
7.172410	6.662882	0.010000
7.275416	6.669768	0.010000
7.378422	6.677259	0.010000
7.480428	6.682112	0.010000
7.582434	6.689182	0.010000
7.685440	6.694098	0.010000
7.787445	6.701536	0.010000
7.889451	6.709293	0.010000
7.991457	6.714236	0.010000
8.093463	6.722184	0.010000
